source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite in Westlands Area,"KSh 200,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:14.926770
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite at Peponi Road,"KSh 260,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/furnished-2-bed-apartment-with-en-suite-at-peponi-road-5913335,2026-02-17T14:56:14.989413
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite at Peponi Road,"KSh 260,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:14.997773
PigiaMe,Rent,3 Bed Apartment with En Suite at Westlands,"KSh 250,000","Westlands, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bed-apartment-with-en-suite-at-westlands-6215333,2026-02-17T14:56:26.449148
PigiaMe,Rent,3 Bed Apartment with En Suite at Westlands,"KSh 250,000","Westlands, Nairobi",3 bed,,,,,2026-02-17T14:56:26.462578
PigiaMe,Rent,Furnished 2 bedroom apartment for rent in Waiyaki Way,"KSh 150,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/furnished-2-bedroom-apartment-for-rent-in-waiyaki-way-3063200,2026-02-17T14:56:26.568767
PigiaMe,Rent,Furnished 2 bedroom apartment for rent in Waiyaki Way,"KSh 150,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:26.572322
PigiaMe,Rent,2 Bed Apartment with En Suite at General Mathenge,"KSh 145,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-at-general-mathenge-6502200,2026-02-17T14:56:26.679174
PigiaMe,Rent,2 Bed Apartment with En Suite at General Mathenge,"KSh 145,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:26.686500
PigiaMe,Rent,Serviced 3 Bed Apartment with Gym in Kilimani,"KSh 200,000","Kilimani, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/serviced-3-bed-apartment-with-gym-in-kilimani-3564004,2026-02-17T14:56:26.769664
PigiaMe,Rent,Serviced 3 Bed Apartment with Gym in Kilimani,"KSh 200,000","Kilimani, Nairobi",3 bed,,,,,2026-02-17T14:56:26.775476
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite in Brookside,"KSh 258,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/furnished-2-bed-apartment-with-en-suite-in-brookside-6285591,2026-02-17T14:56:26.852003
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite in Brookside,"KSh 258,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:26.864693
PigiaMe,Rent,Serviced 2 Bed Apartment with Backup Generator in Runda,"KSh 309,600","Runda, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/serviced-2-bed-apartment-with-backup-generator-in-runda-6487827,2026-02-17T14:56:26.944214
PigiaMe,Rent,Serviced 2 Bed Apartment with Backup Generator in Runda,"KSh 309,600","Runda, Nairobi",2 bed,,,,,2026-02-17T14:56:26.948600
PigiaMe,Rent,2 Bed Apartment with En Suite in Kilimani,"KSh 140,000","Kilimani, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-en-suite-in-kilimani-5778271,2026-02-17T14:56:27.050796
